Designator,Footprint,Quantity,Value,LCSC Part #
,,1,,
"J1, J3",SolderWire-0.1sqmm_1x01_D0.4mm_OD1mm,2,Conn_01x01_Socket,
J2,Jack_3.5mm_CUI_SJ1-3533NG_Horizontal,1,AudioPlug3,
LS1,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,1,PS1240P02BT,
MOUSE-BITE-1MM-3MM,mouse-bite-1mm-3mm,1,VAL**,
Q1,TO-92L_HandSolder,1,NPN,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1k,
"RV1, RV2",Potentiometer_TT_P0915N,2,R_Potentiometer,
"SW1, SW2",SW_Slide_SPDT_Straight_CK_OS102011MS2Q,2,SW_SPST,
"TP1, TP2_2, TP2",Copper Pad,3,TestPoint,
U1,XIAO-Generic-Thruhole-14P-2.54-21X17.8MM,1,XIAO-ESP32-S3-DIP,
